Category,Value
C,25.0
B,19.66
C,89.69
D,45.08
D,2.82
C,66.51
A,24.44
C,85.96
B,24.11
B,57.7
B,40.61
B,59.83
A,33.56
B,81.69
C,82.13
D,82.38
B,60.93
B,24.1
C,1.63
D,26.87
D,98.04
D,69.82
D,95.44
B,11.56
C,30.54
A,1.59
A,84.14
B,77.8
B,91.59
A,73.13
C,4.2
A,53.24
C,16.92
A,51.83
A,87.81
C,2.91
B,75.65
B,59.9
A,69.59
D,86.98
A,24.48
C,57.89
C,54.03
B,81.85
A,31.39
B,55.71
C,75.37
D,22.77
C,55.17
C,64.53
C,22.02
C,22.22
D,68.03
A,88.68
D,52.34
C,41.37
D,34.21
C,72.62
A,93.8
A,27.33
B,92.28
B,48.7
A,56.71
B,88.89
B,64.35
D,26.73
D,71.07
D,31.78
D,17.36
B,4.93
B,95.46
C,94.01
A,60.85
B,66.44
B,95.29
D,74.97
D,13.63
A,80.61
A,70.94
A,91.96
B,88.68
C,88.78
D,6.57
A,74.7
A,56.87
D,24.86
D,41.8
B,15.86
C,27.1
A,17.97
C,64.69
A,25.39
B,94.62
A,77.88
C,13.51
B,69.69
B,40.22
A,62.29
C,90.93
C,74.47
