Category,Value
C,7.74
D,4.23
C,68.54
A,24.66
D,28.45
C,59.06
D,74.91
B,27.44
D,14.72
D,78.1
C,64.59
B,6.7
D,38.52
D,74.42
A,83.53
A,12.93
A,52.53
A,24.49
B,64.71
B,55.07
B,38.62
A,96.55
D,66.35
C,4.09
D,94.29
B,69.7
C,66.77
A,20.52
B,20.95
A,27.64
C,9.32
C,63.6
D,70.49
C,11.23
D,83.67
C,77.12
B,12.69
B,71.24
B,9.44
C,57.02
B,16.58
D,78.59
A,93.9
D,55.39
A,60.08
D,26.09
C,85.63
D,38.44
C,13.76
B,76.48
A,42.24
D,81.69
D,42.2
B,61.21
D,57.67
A,16.55
D,4.09
C,69.87
A,43.79
D,72.8
A,30.73
C,13.24
B,26.69
C,61.16
C,87.82
A,22.14
D,65.34
C,85.85
B,47.19
B,22.32
C,91.85
C,38.71
D,99.19
C,5.3
B,80.63
A,5.52
C,38.05
A,37.57
D,82.0
C,96.35
B,72.86
A,46.9
B,51.09
C,58.96
A,58.65
A,33.21
C,12.01
C,93.39
A,34.36
A,23.26
B,59.19
B,87.31
C,19.6
B,23.73
D,31.86
D,79.7
A,61.36
C,11.13
D,71.53
A,30.59
