Category,Value
D,80.56
B,23.53
B,18.32
B,53.46
B,77.42
C,81.62
D,40.07
A,67.7
A,82.68
C,16.97
B,67.26
D,17.33
B,25.82
A,26.22
C,80.23
D,69.94
B,69.62
C,94.37
C,2.38
D,54.52
A,40.29
A,98.44
A,83.34
D,10.85
B,62.94
C,5.58
B,5.81
A,97.8
D,30.84
B,50.76
A,33.72
A,79.75
C,1.08
B,74.61
B,14.04
C,46.37
C,87.42
C,68.64
B,45.33
D,29.61
B,84.64
D,65.31
A,17.63
A,41.25
A,12.56
D,99.61
D,15.44
D,84.6
C,25.57
A,24.56
D,63.18
C,63.79
C,46.41
C,3.23
B,8.96
A,54.25
A,37.4
C,82.44
D,85.65
A,19.36
A,65.38
A,88.55
B,63.82
C,69.72
A,72.73
D,13.94
A,76.05
A,48.68
D,44.13
C,18.98
B,12.3
D,74.52
B,20.25
C,23.71
A,28.15
D,43.98
B,74.5
B,65.47
D,44.37
D,30.2
D,67.39
D,3.69
C,59.49
B,50.33
C,36.6
C,51.15
C,90.37
D,1.79
C,24.66
A,90.52
C,15.33
B,45.24
C,54.23
C,25.95
B,84.06
A,17.43
A,83.21
A,84.67
C,42.39
D,84.47
